OID_,AreaServed,ID,COMPANY,Acronym,CoType,AreaType,Disclaimer,Disclaim2,Disclaim3,Provenance,Licence,WARNINGS,Created,LastUpdate,Version,Revisions
59,"Newark Road, Peterborough",344,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
60,"Nightingale Road, Derby",347,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
61,"Rawcliffe Road, Goole",366,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
62,"Shepherd's Lane, Shrewsbury",374,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
63,"Comeytrowe, Taunton",258,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
64,"Ashton Road, Oundle",218,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
65,"Barnfield Avenue, Luton",221,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
66,"Beckhill Approach, Meanwood",224,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
67,"Bedford Road, Lower Stondon",225,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
68,"Bromham Road, Bedford",239,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
69,"Cocoa East, York",257,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
70,"Ellison Fold Way, Darwen",271,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
71,"Graze Hill, Ravensden",292,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
72,"Grovelands Way, Warminster",294,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
73,"High Street, Walton, Felixstowe",305,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
74,"Land off Nursery Lane, South Wootton",319,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
75,"Land East of Eastboro Way, Nuneaton",318,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
76,"Longholme Road, Retford",327,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
77,"Nine Elms Park, Wandsworth",348,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
78,"Poplar Riverside, London",362,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
79,"Thames Avenue, Leigh",396,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
80,"Wardentree Lane, Pinchbeck",408,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
81,"Wateringbury Way, Eastbourne",410,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
82,"West Benton, Benton",413,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
83,"Market Quarter, Rugby",335,Leep Networks (Water) Ltd,LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
84,"The White Ox, Penrith",399,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
85,"Tudor Nurseries, Goffs Oak",403,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
86,"Upper Warren, Hartlepool",405,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
87,"Walkeringham Road, Beckingham",407,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
88,"Warton Fylde, Preston",409,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
89,"Welbeck Road, Bolsover",411,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
90,"Wentworth Way, Sheffield",412,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
91,"West Bridgewater Street, Leigh",414,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
92,"Wey Valley, Nottington Lane",419,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
93,"Wharton Bridge, Winsford",420,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
94,"Whitefield Drive, Kirkby",422,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
95,"Whittingham Lane, Preston",424,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
96,"Windy Arbor Road, Prescot",427,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
